,station,week,zaterdag,zondag,lat,lng,station_link
0,AALST,7733,1758,1589,50.9427068,4.039143,Aalst
1,AALST-KERREBROEK,27,9,9,50.9483067,4.0248553,Aalst-Kerrebroek
2,AALTER,1957,526,536,51.0922263,3.4495495000000003,Aalter
3,AARSCHOT,5660,1414,1104,50.9847169,4.8242503,Aarschot
4,AARSELE,24,9,9,50.9846045,3.4183273,Aarsele
5,ACREN,199,37,29,50.73320589999999,3.8471529,Acren
6,AISEAU,64,24,14,50.42945020000001,4.5845289000000005,Aiseau
7,ALKEN,464,151,305,50.88672469999999,5.292618600000001,Alken
8,AMAY,253,77,72,50.546126,5.3206489,Amay
9,AMPSIN,133,29,28,50.5391793,5.289769499999999,Ampsin
10,ANDENNE,1584,451,430,50.4967023,5.0952739000000005,Andenne
11,ANGLEUR,676,179,83,50.6131758,5.599849499999999,Angleur
12,ANS,1094,141,125,42.274044,-83.748498,
13,ANSEREMME,52,67,55,50.2372078,4.904729,Anseremme
14,ANTOING,260,105,138,50.5692876,3.4516359,Antoing
15,ANTOING,260,105,138,50.5692876,3.4516359,Haute-Picardie TGV
16,ANTWERPEN-BERCHEM,15145,5549,6078,51.2001783,4.4327702,Antwerpen-Oost
17,ANTWERPEN-BERCHEM,15145,5549,6078,51.2001783,4.4327702,Antwerpen-Berchem
18,ANTWERPEN-CAAL,33614,19260,16539,51.21719179999999,4.4212529,Antwerpen-Centraal
19,ANTWERPEN-LUCHTBAL,163,82,41,51.2450124,4.4249,Antwerpen-Luchtbal
20,ANTWERPEN-NOORDERDOKKEN,53,19,7,51.261686,4.4274315,Antwerpen-Noorderdokken
21,ANTWERPEN-ZUID,1769,257,205,51.1978459,4.3902715,Antwerpen-Zuid
22,ANZEGEM,210,9,9,50.82638499999999,3.495013,Anzegem
23,APPELTERRE,205,43,33,50.8135623,3.972929999999999,Appelterre
24,ARCHENNES,113,39,36,50.7541154,4.6625779000000005,Archennes
25,ARLON,4116,1003,1923,49.6804268,5.809418599999999,Arlon
26,ARLON,4116,1003,1923,49.6804268,5.809418599999999,Mersch
27,ARLON,4116,1003,1923,49.6804268,5.809418599999999,Ettelbréck
28,ASSE,1144,165,170,50.9060327,4.2081262000000015,Asse
29,ASSESSE,634,30,25,50.3683651,5.0226231,Assesse
30,ATH,5339,928,937,50.6271876,3.7771893,Ath
31,ATHUS,986,411,118,49.56394030000001,5.8290473,Mulhouse
32,ATHUS,986,411,118,49.56394030000001,5.8290473,Saint-Louis-Haut-Rhin
33,ATHUS,986,411,118,49.56394030000001,5.8290473,Landry
34,ATHUS,986,411,118,49.56394030000001,5.8290473,Colmar
35,ATHUS,986,411,118,49.56394030000001,5.8290473,Saverne
36,ATHUS,986,411,118,49.56394030000001,5.8290473,Rodange
37,ATHUS,986,411,118,49.56394030000001,5.8290473,Metz
38,ATHUS,986,411,118,49.56394030000001,5.8290473,Nice Ville
39,ATHUS,986,411,118,49.56394030000001,5.8290473,Thionville
40,ATHUS,986,411,118,49.56394030000001,5.8290473,Bourg-Saint-Maurice
41,ATHUS,986,411,118,49.56394030000001,5.8290473,Strasbourg
42,ATHUS,986,411,118,49.56394030000001,5.8290473,Athus
43,ATHUS,986,411,118,49.56394030000001,5.8290473,Cannes
44,ATHUS,986,411,118,49.56394030000001,5.8290473,Bertrange Strassen
45,ATHUS,986,411,118,49.56394030000001,5.8290473,Albertville
46,ATHUS,986,411,118,49.56394030000001,5.8290473,Moûtiers-Salins-Brides-les-Bai
47,ATHUS,986,411,118,49.56394030000001,5.8290473,Saint-Raphaël-Valescure
48,ATHUS,986,411,118,49.56394030000001,5.8290473,Mamer
49,ATHUS,986,411,118,49.56394030000001,5.8290473,Basel
50,ATHUS,986,411,118,49.56394030000001,5.8290473,Selestat
51,ATHUS,986,411,118,49.56394030000001,5.8290473,Mamer-Lycée
52,ATHUS,986,411,118,49.56394030000001,5.8290473,Aime-la-Plagne
53,ATHUS,986,411,118,49.56394030000001,5.8290473,Antibes
54,ATHUS,986,411,118,49.56394030000001,5.8290473,Les Arcs - Draguignan
55,ATHUS,986,411,118,49.56394030000001,5.8290473,Lëtzebuerg
56,AUBANGE,67,9,9,49.5636985,5.799286599999999,Aubange
57,AUVELAIS,616,223,165,50.4489215,4.631399299999999,Auvelais
58,AYE,48,12,25,50.22437129999999,5.3011227,Aye
59,AYWAILLE,174,88,107,50.4729165,5.6729552000000005,Aywaille
60,BAASRODE-ZUID,117,9,9,51.0194998,4.153760699999999,Baasrode-Zuid
61,BALEGEM-DORP,243,70,50,50.9197233,3.791477,Balegem-Dorp
62,BALEGEM-ZUID,153,9,9,50.9002156,3.8059565,Balegem-Zuid
63,BALEN,250,72,62,51.1690547,5.165150199999999,Balen
64,BAMBRUGGE,51,9,9,50.913621,3.9356871,Bambrugge
65,BARVAUX,328,170,133,50.34939470000001,5.501763299999999,Barvaux
66,BAS-OHA,65,16,6,50.52317470000001,5.1921669,Bas-Oha
67,BASSE-WAVRE,465,62,44,50.72446919999999,4.622171400000001,Basse-Wavre
68,BEAURAING,234,102,150,50.11436,4.9567068,Beauraing
69,BEERNEM,652,188,234,51.12812419999999,3.3292576,Beernem
70,BEERSEL,271,9,9,50.7665814,4.3025531,Beersel
71,BEERVELDE,232,9,9,51.08702020000001,3.8795594,Beervelde
72,BEGIJNENDIJK,257,76,93,51.0225608,4.7994705,Begijnendijk
73,BEIGNEE,19,9,9,50.33387279999999,4.406464199999999,Beignée
74,BELLEM,204,50,40,51.0836413,3.4883369,Bellem
75,BELSELE,233,63,56,51.1509842,4.0878212,Belsele
76,BERCHEM-ST-AG.-BERCHEM,815,126,131,51.189856,4.432951,
77,BERINGEN,89,28,24,51.0506,5.235889999999999,Beringen
78,BERLAAR,345,129,205,51.1135946,4.638903900000002,Berlaar
79,BERTRIX,423,161,157,49.8530369,5.267417900000001,Bertrix
80,BERZEE,193,33,23,50.28555050000001,4.406217,Berzée
81,BEUZET,131,22,12,50.534024,4.7485269,Beuzet
82,BEVEREN,937,130,137,51.2083732,4.259547599999999,Beveren
83,BEVERLO,143,43,50,51.08863909999999,5.234468199999999,Beverlo
84,BIERGES-WALIBI,85,623,584,50.7083648,4.596190900000002,Bierges-Walibi
85,BIERSET-AWANS,140,40,29,50.6581661,5.4571017999999984,Bierset-Awans
86,BILZEN,573,219,247,50.8684987,5.5095122000000005,Bilzen
87,BINCHE,565,313,269,50.40888620000001,4.1728774,Binche
88,BISSEGEM,172,69,88,50.8260703,3.2252219,Bissegem
89,BLANKENBERGE,1455,997,1761,51.31258099999999,3.1336659,Blankenberge
90,BLANMONT,199,25,29,50.6204273,4.6358875,Blanmont
91,BLATON,516,140,141,50.5052542,3.6663199,Blaton
92,BLERET,63,9,9,50.6853562,5.2857178,Bleret
93,BOCKSTAEL,899,101,87,50.87926479999999,4.349216699999999,Bockstael
94,BOECHOUT,472,109,137,51.16378109999999,4.494249900000002,Boechout
95,BOITSFORT/BOSVOORDE,738,109,117,50.7951005,4.407659400000001,Bosvoorde/Boitsfort
96,BOKRIJK,116,73,95,50.9558456,5.4085681,Bokrijk
97,BOMAL,247,93,88,50.3768633,5.519568899999999,Sy
98,BOMAL,247,93,88,50.3768633,5.519568899999999,Bomal
99,BOOISCHOT,260,86,66,51.0372304,4.773801499999999,Booischot
100,BOOM,204,9,9,51.0906309,4.360568199999999,Boom
101,BOONDAEL/BOONDAAL,860,9,9,50.80154829999999,4.3931452,Boondaal/Boondael
102,BOORTMEERBEEK,539,104,129,50.9819739,4.5735163,Boortmeerbeek
103,BORDET,556,9,9,50.87767969999999,4.4098916,Bordet
104,BORNEM,698,185,221,51.0993852,4.2399179,Bornem
105,BOUSSU,249,51,61,50.4361857,3.7968443,Boussu
106,BOUWEL,459,108,141,51.1656412,4.7464856,Bouwel
107,BRACQUEGNIES,117,34,24,50.47419429999999,4.125355600000002,Bracquegnies
108,BRAINE-l'ALLEUD,5319,1292,803,50.68495470000001,4.3756865,Braine-l'Alleud
109,BRAINE-LE-COMTE,4998,1333,1224,50.60575790000001,4.1382572999999985,Braine-le-Comte
110,BRESSOUX,175,24,27,50.6438683,5.6114925000000015,Bressoux
111,BRU.-CONG.,736,9,9,50.8521292999,4.361865,Brussel-Congres/Bruxelles-Congrès
112,BRU.-CENT.,61099,18923,19143,50.8454872,4.3570163,Brussel-Centraal/Bruxelles-Central
113,BRU.-CHAP./KAP.,128,9,9,50.8412518,4.3485157,Brussel-Kapellekerk/Bruxelles-Chapelle
114,BRU.-LUXEMBG,7109,1408,1324,50.837951,4.3735317,Mouterij/Germoir
115,BRU.-LUXEMBG,7109,1408,1324,50.837951,4.3735317,Brussel-Luxemburg/Bruxelles-Luxembourg
116,BRU.-MIDI/ZUID,62545,19347,21453,50.83644109999999,4.3347878,Brussel-Zuid/Bruxelles-Midi
117,BRU.-NAT-LUCHTHAVEN,7983,5221,5937,50.8984736,4.4828741999,Brussels Airport - Zaventem
118,BRU.-NOORD/NORD,63104,18128,16815,50.8605262,4.3617873,Thurn en Taxis/Tour et Taxis
119,BRU.-NOORD/NORD,63104,18128,16815,50.8605262,4.3617873,Brussel-Noord/Bruxelles-Nord
120,BRU.-SCHUMAN,6501,1235,1140,50.84238060000001,4.3783907,Brussel-Schuman/Bruxelles-Schuman
121,BRU.-WEST/OUEST,78,28,28,50.84909879999999,4.3214938,Brussel-West/Bruxelles-Ouest
122,BRUGELETTE,229,30,24,50.59418059999999,3.8526717000000006,Brugelette
123,BRUGGE,18095,11409,12782,51.1976659,3.2178509,Brugge
124,BRUGGE-SINT-PIETERS,65,8,10,51.22310599999999,3.2018369,Brugge-Sint-Pieters
125,BUDA,57,9,9,44.96372,25.9257871,
126,BUGGENHOUT,478,134,176,51.0163675,4.201228899999999,Buggenhout
127,BUIZINGEN,407,68,82,50.7508491,4.2578355000000006,Buizingen
128,BURST,1063,113,124,50.9071148,3.9214651,Burst
129,CALLENELLE,26,9,9,50.5308842,3.5195729,Callenelle
130,CAMBRON-CASTEAU,117,191,137,50.5865375,3.8748428,Cambron-Casteau
131,CARLSBOURG,30,9,20,49.9075723,5.087011899999999,Carlsbourg
132,CARNIERES,153,29,19,50.4478527,4.2639624000000005,Carnieres
133,CEROUX-MOUSTY,238,29,30,50.6599588,4.569120799999999,Ceroux-Mousty
134,CHAPELLE-DIEU,50,9,9,50.5580498,4.6987935,Chapelle-Dieu
135,CHAPOIS,46,22,29,50.2617506,5.1251516,Chapois
136,CHARLEROI-OUEST,104,24,22,50.41096829999999,4.4369017999999985,Charleroi-Ouest
137,CHARLEROI-SUD,12642,4036,4048,50.40473650000001,4.438739,Charleroi-Sud
138,CHASTRE,359,68,49,50.60800279999999,4.6494461,Chastre
139,CHATEAU-DE-SEILLES,106,23,8,50.4972717,5.0817086,Château-de-Seilles
140,CHATELET,847,227,192,50.4094398,4.520959,Châtelet
141,CHENEE,132,38,18,50.60753330000001,5.6174069000000015,Chênée
142,CINEY,2124,898,959,50.29138769999999,5.0914722,Ciney
143,COMBLAIN-LA-TOUR,109,32,37,50.4564993,5.5670041,Rivage
144,COMBLAIN-LA-TOUR,109,32,37,50.4564993,5.5670041,Comblain-la-Tour
145,COMINES/KOMEN,668,145,223,50.7715938,2.998578,Paris Nord
146,COMINES/KOMEN,668,145,223,50.7715938,2.998578,Comines
147,COO,46,50,40,50.391112,5.880895799999999,Coo
148,COUILLET,35,9,9,50.392745,4.4686045,Couillet
149,COURCELLES-MOTTE,186,26,8,50.4624105,4.400333,Courcelles-Motte
150,COURRIERE,138,25,24,50.3889447,4.994983299999999,Courrière
151,COUR-SUR-HEURE,31,16,18,50.3003861,4.3915502,Cour-sur-Heure
152,COURT-SAINT-ETIENNE,334,71,37,50.64610769999999,4.5658669000000005,Court-Saint-Étienne
153,COUVIN,299,80,126,50.0564948,4.492010899999999,Couvin
154,DAVE-SAINT-MARTIN,73,17,15,50.4291254,4.8838209,Dave-Saint-Martin
155,DE-HOEK,207,86,64,50.73868299999999,4.370935500000001,De Hoek
156,DE-PANNE,577,594,906,51.0773829,2.6022881,De Panne
157,DE-PINTE,1482,366,328,50.9964211,3.6494722,De Pinte
158,DEINZE,2072,584,623,50.9784836,3.5348838,Deinze
159,DELTA,568,9,9,-34.4185509,-58.5768409,
160,DENDERLEEUW,9494,2247,2156,50.8916861,4.0725619,Denderleeuw
161,DENDERMONDE,6036,1066,1162,51.02320719999999,4.1013756,Dendermonde
162,DIEGEM,1190,226,200,50.8894744,4.446984099999999,Diegem
163,DIEPENBEEK,443,103,148,50.91054129999999,5.4201149000000015,Diepenbeek
164,DIEST,2648,547,605,50.99302460000001,5.051132599999999,Diest
165,DIKSMUIDE,582,261,432,51.0327958,2.8691373,Diksmuide
166,DILBEEK,761,98,140,50.8661477,4.2444233,Dilbeek
167,DINANT,1409,825,932,50.261137700000006,4.9080134000000015,Dinant
168,DOLHAIN-GILEPPE,199,31,29,50.61613679999999,5.9365203,Dolhain-Gileppe
169,DRONGEN,413,62,68,51.0472025,3.6555226,Drongen
170,DUFFEL,913,276,188,51.0916128,4.4931459,Duffel
171,DUINBERGEN,217,79,159,51.3384219,3.2635739,Duinbergen
172,ECAUSSINNES,690,229,240,50.56211629999999,4.1572013,Écaussinnes
173,EDE,499,9,9,50.9109037,3.9874646,Ede
174,EEKLO,834,140,116,51.1807807,3.5750407,Eeklo
175,EICHEM,109,11,12,50.8243339,3.994253799999999,Eichem
176,EINE,296,83,66,50.8705469,3.6236784,Eine
177,EKE-NAZARETH,293,46,40,50.9609124,3.627769199999999,Eke-Nazareth
178,EKEREN,778,145,166,51.2816099,4.4341227,Ekeren
179,EKEREN,778,145,166,51.2816099,4.4341227,Antwerpen-Haven
180,ENGHIEN/EDINGEN,3255,595,502,50.69720179999999,4.046002200000001,Enghien
181,ENGIS,171,43,34,50.5828304,5.402624400000001,Engis
182,EPPEGEM,718,84,66,50.9590743,4.4580118,Eppegem
183,ERBISOEUL,91,13,5,50.5072295,3.8881172999999993,Erbisœul
184,EREMBODEGEM,788,131,143,50.9195349,4.0560671,Erembodegem
185,ERNAGE,116,26,21,50.59229819999999,4.6672581,Ernage
186,ERPE-MERE,66,9,9,50.92936270000001,3.9630476,Erpe-Mere
187,ERPS-KWERPS,275,50,32,50.89648800000001,4.5848805,Erps-Kwerps
188,ERQUELINNES,280,103,112,50.3039047,4.1121737000000005,Erquelinnes
189,ERQUELINNES-VILLAGE,58,12,22,50.3101845,4.1314417,Erquelinnes-Village
190,ESNEUX,173,37,49,50.5303662,5.572634099999998,Esneux
191,ESNEUX,173,37,49,50.5303662,5.572634099999998,Poulseur
192,ESSEN,915,395,355,51.4626083,4.4512862,Essen Hbf
193,ESSEN,915,395,355,51.4626083,4.4512862,Essen
194,ESSEN,915,395,355,51.4626083,4.4512862,Roosendaal
195,ESSENE-LOMBEEK,307,45,28,50.8824086,4.1170028,Essene-Lombeek
196,ETTERBEEK,4894,365,311,50.82217929999999,4.3895737,Etterbeek
197,EUPEN,509,415,458,50.635167,6.0369309,Eupen
198,EVERE,386,9,9,50.8675783,4.4007414,Evere
199,EVERGEM,289,24,15,51.1072009,3.7020753,Evergem
200,EZEMAAL,204,22,40,50.7715885,4.995262599999998,Ezemaal
201,FAMILLEUREUX,79,9,9,50.52008350000001,4.2104534000000005,Familleureux
202,FARCIENNES,116,26,33,50.4294368,4.5527378,Farciennes
203,FARCIENNES,116,26,33,50.4294368,4.5527378,Le Campinaire
204,FAUX,155,30,25,50.62237,4.55013,Faux
205,FEXHE-LE-HT-CLOCHER,132,28,35,50.66416659999999,5.397432999999999,Fexhe-le-Haut-Clocher
206,FLAWINNE,68,10,14,50.456336,4.8067832,Flawinne
207,FLEMALLE-GRANDE,90,27,20,50.6048184,5.480022900000002,Flemalle-Grande
208,FLEMALLE-HAUTE,864,222,172,50.5947574,5.4572989000000005,Flemalle-Haute
209,FLEURUS,539,120,143,50.4829849,4.5448394,Fleurus
210,FLOREE,23,9,9,50.3576938,5.0563234,Florée
211,FLOREFFE,150,34,20,50.443189200000006,4.762653999999999,Floreffe
212,FLORENVILLE,136,43,100,49.7069816,5.3316739,Florenville
213,FLORIVAL,76,21,27,50.7615664,4.653963699999999,Florival
214,FONTAINE-VALMONT,107,10,40,50.3213023,4.2129873,Fontaine-Valmont
215,FORCHIES,171,38,23,50.43315,4.32337,Forchies
216,FOREST-EST/VORST-OOST,154,96,95,50.8097421,4.320621399999999,Vorst-Oost/Forest-Est
217,FOREST-MIDI/VORST-ZUID,244,53,19,50.8092625,4.3094544,Vorst-Zuid/Forest-Midi
218,FORRIERES,32,20,17,50.13242469999999,5.2769222000000005,Forrières
219,FRAIPONT,118,53,20,50.5650093,5.7235641,Fraipont
220,FRAMERIES,335,9,9,50.40587960000001,3.9061909,Frameries
221,FRANCHIMONT,252,38,15,50.52562860000001,5.8222651,Franchimont
222,FRANIERE,101,35,28,50.43924819999999,4.7343465,Franière
223,FROYENNES,559,22,22,50.6303819,3.3540949,Froyennes
224,GALMAARDEN,297,34,28,50.7436257,3.9668324,Galmaarden
225,GASTUCHE,151,40,44,50.7364158,4.6500349000000005,Gastuche
226,GAVERE-ASPER,401,60,35,50.9293057,3.6401504,Gavere-Asper
227,GEDINNE,98,44,112,49.98435569999999,4.978073699999999,Gedinne
228,GEEL,1586,628,763,51.1688398,4.9891324,Geel
229,GEMBLOUX,6199,1431,1414,50.5704346,4.690993799999998,Gembloux
230,GENDRON-CELLES,17,26,24,50.2109214,4.9645626,Gendron-Celles
231,GENK,1033,582,1269,50.96706,5.49637,Genk
232,GENLY,147,9,9,50.3911874,3.9114508,Genly
233,GENTBRUGGE,377,37,25,51.03825120000001,3.756713200000001,Gentbrugge
234,GENT-DAMPOORT,5104,1307,1093,51.0562574,3.7401455,Gent-Dampoort
235,GENT-SINT-PIETERS,55817,21184,22046,51.03612370000001,3.7109366,Gent-Sint-Pieters
236,GENVAL,1421,295,228,50.7260194,4.5142291,Genval
237,GERAARDSBERGEN,2913,653,542,50.77042429999999,3.8723864,Geraardsbergen
238,GHLIN,34,9,9,50.48755999999999,3.90605,Ghlin
239,GLONS,128,32,28,50.7505542,5.535523,Glons
240,GODARVILLE,136,26,14,50.4929582,4.2902412000000005,Godarville
241,GODINNE,443,148,161,50.34885379999999,4.8690127,Godinne
242,GONTRODE,126,34,24,50.9809588,3.8010281,Gontrode
243,GONTRODE,126,34,24,50.9809588,3.8010281,Melle
244,GOUVY,242,96,200,50.1903985,5.9531977,Michelau
245,GOUVY,242,96,200,50.1903985,5.9531977,Drauffelt
246,GOUVY,242,96,200,50.1903985,5.9531977,Troisvierges
247,GOUVY,242,96,200,50.1903985,5.9531977,Wilwerwiltz
248,GOUVY,242,96,200,50.1903985,5.9531977,Clervaux
249,GOUVY,242,96,200,50.1903985,5.9531977,Gouvy
250,GOUVY,242,96,200,50.1903985,5.9531977,Kautebaach
251,GOUVY,242,96,200,50.1903985,5.9531977,Bastogne-Nord
252,GOUY-LEZ-PIETON,135,15,6,50.4969008,4.325246,Gouy-lez-Pieton
253,GRAIDE,84,30,51,49.93380029999999,5.043205599999999,Graide
254,GROENENDAAL,479,74,117,50.7663333,4.449039900000002,Groenendaal
255,GROOT-BIJGAARDEN,453,67,61,50.86833799999999,4.273542,Sint-Agatha-Berchem/Berchem-Sainte-Agathe
256,GROOT-BIJGAARDEN,453,67,61,50.86833799999999,4.273542,Groot-Bijgaarden
257,GRUPONT,50,12,16,50.0907819,5.280583999999998,Grupont
258,HAACHT,674,138,168,50.9662646,4.613707799999999,Haacht
259,HAALTERT,555,93,88,50.9067403,4.0237418,Haaltert
260,HABAY,70,14,14,49.7182847,5.6326367999999984,Habay
261,HABAY,70,14,14,49.7182847,5.6326367999999984,Bastogne-Sud
262,HAININ,139,32,28,50.4281398,3.7672613,Hainin
263,HALANZY,68,9,9,49.5560188,5.743224,Halanzy
264,HALANZY,68,9,9,49.5560188,5.743224,Toulon
265,HALANZY,68,9,9,49.5560188,5.743224,Chambéry-Challes-les-Eaux
266,HALLE,6332,1613,1278,50.7333893,4.239943299999998,Halle
267,HAMBOS,51,9,9,50.94415,4.66364,Hambos
268,HAMOIR,232,99,117,50.4283587,5.533990599999999,Hamoir
269,HAMONT,154,122,194,51.2462881,5.5439041,Hamont
270,HAM-SUR-HEURE,32,15,15,50.3196782,4.4047987,Ham-sur-Heure
271,HAM-SUR-SAMBRE,14,9,9,50.4529222,4.671863099999999,Ham-sur-Sambre
272,HANSBEKE,278,75,75,51.0732238,3.5361712999999995,Hansbeke
273,HARCHIES,30,9,9,50.4823,3.699009999999999,Harchies
274,HARELBEKE,1068,213,467,50.8562825,3.3143107000000005,Harelbeke
275,HAREN,232,9,9,53.175222,6.6177553,
276,HAREN-ZUID/SUD,550,76,64,50.89019889999999,4.4176038,Haren-Sud/Haren-Zuid
277,HAREN-ZUID/SUD,550,76,64,50.89019889999999,4.4176038,Haren
278,HAREN-ZUID/SUD,550,76,64,50.89019889999999,4.4176038,Buda
279,HASSELT,7275,2835,2913,50.9309196,5.327631299999998,Hasselt
280,HAUTE-FLONE,153,20,6,50.55366160000001,5.3305383000000015,Haute-Flône
281,HAVERSIN,100,28,18,50.2490047,5.194442899999999,Haversin
282,HAVRE,83,13,17,50.4706026,4.059926,Havre
283,HEIDE,875,208,229,51.364828,4.460430800000001,Heide
284,HEIST,426,191,239,51.33401620000001,3.2390957,Heist
285,HEIST-OP-DEN-BERG,1529,683,730,51.074008,4.708778700000001,Heist-op-den-Berg
286,HEIZIJDE,267,40,38,50.9894922,4.1565293,Heizijde
287,HEMIKSEM,152,9,9,51.13624009999999,4.3382849000000006,Hemiksem
288,HENNUYERES,392,71,43,50.6513751,4.1763571000000015,Hennuyères
289,HERENT,463,56,47,50.9038269,4.674181700000001,Herent
290,HERENTALS,3631,952,967,51.1810322,4.828856099999999,Olen
291,HERENTALS,3631,952,967,51.1810322,4.828856099999999,Herentals
292,HERGENRATH,24,73,8,50.7088913,6.0433655,Aachen Hbf
293,HERGENRATH,24,73,8,50.7088913,6.0433655,Hergenrath
294,HERNE,351,54,37,51.54365,7.217829999999997,Dortmund Hbf
295,HERNE,351,54,37,51.54365,7.217829999999997,Limburg Süd
296,HERNE,351,54,37,51.54365,7.217829999999997,Düsseldorf Hbf
297,HERNE,351,54,37,51.54365,7.217829999999997,Frankfurt am Main Flughafen
298,HERNE,351,54,37,51.54365,7.217829999999997,Köln Hbf
299,HERNE,351,54,37,51.54365,7.217829999999997,Siegburg
300,HERNE,351,54,37,51.54365,7.217829999999997,Duisburg Hbf
301,HERNE,351,54,37,51.54365,7.217829999999997,Düsseldorf Flughafen Hbf
302,HERNE,351,54,37,51.54365,7.217829999999997,Frankfurt am Main Hbf
303,HERSEAUX,628,107,217,50.713757,3.2460881,Hellemmes
304,HERSEAUX,628,107,217,50.713757,3.2460881,Lezennes
305,HERSEAUX,628,107,217,50.713757,3.2460881,Ascq
306,HERSEAUX,628,107,217,50.713757,3.2460881,Annappes
307,HERSEAUX,628,107,217,50.713757,3.2460881,Pont de Bois
308,HERSEAUX,628,107,217,50.713757,3.2460881,Herseaux
309,HERSEAUX,628,107,217,50.713757,3.2460881,Baisieux
310,HERSTAL,416,169,131,50.660973,5.623151399999999,Herstal
311,HERZELE,517,108,119,50.8972328,3.8802493,Herzele
312,HEUSDEN,148,56,55,51.038246,5.281645399999999,Heusden
313,HEVER,149,9,9,51.18141,0.0951,London Saint Pancras International
314,HEVER,149,9,9,51.18141,0.0951,Ebbsfleet International
315,HEVERLEE,491,97,100,50.8624799,4.6954875,Heverlee
316,HILLEGEM,114,9,9,50.89154500000001,3.8583314,Hillegem
317,HOBOKEN-POLDER,123,9,9,51.182848,4.3483148,Zwijndrecht
318,HOBOKEN-POLDER,123,9,9,51.182848,4.3483148,Hoboken-Polder
319,HOEILAART,265,90,81,50.7600115,4.467908400000002,Hoeilaart
320,HOFSTADE,84,9,9,50.9882106,4.4971808000000015,Hofstade
321,HOLLEKEN,140,63,53,50.767548100000006,4.3538929,Holleken
322,HONY,47,11,11,50.5397679,5.5733175,Hony
323,HOURAING,177,32,21,50.7029153,3.8351966,Houraing
324,HOURPES,9,9,9,50.36522470000001,4.308602,Hourpes
325,HOUYET,78,33,45,50.1896436,5.0060494,Houyet
326,HOVE,487,131,115,50.83521,-0.17065999999999998,
327,HUIZINGEN,307,9,9,50.75176,4.2660237,Huizingen
328,HUIZINGEN,307,9,9,50.75176,4.2660237,Lot
329,HUY,2562,743,817,50.5266271,5.2329095,Statte
330,HUY,2562,743,817,50.5266271,5.2329095,Huy
